NEGERI,PPD,KODSEKOLAH,NAMASEKOLAH,NAMASEKOLAH_C,ALAMATSURAT,POSKODSURAT,BANDARSURAT,TARIKHTUBUHSEKOLAH,KOORDINATXX,KOORDINATYY
PERAK,PPD KINTA UTARA,ABC2125,SEKOLAH JENIS KEBANGSAAN (CINA) CHONG HWA,拱桥中华华小,KANTHAN BARU,31200,CHEMOR,1/1/1935,101.119987,4.742927133
PERAK,PPD KINTA UTARA,ABC2126,SEKOLAH JENIS KEBANGSAAN (CINA) JELAPANG,怡保九洞华小,"JALAN SEKOLAH, JELAPANG",30020,IPOH,1/1/1919,101.0604928,4.634478624
PERAK,PPD KINTA UTARA,ABC2127,SEKOLAH JENIS KEBANGSAAN (CINA) BUKIT MERAH,怡保红泥山华小,BUKIT MERAH,31500,LAHAT,21/10/1951,101.0406331,4.549127427
PERAK,PPD KINTA UTARA,ABC2128,SEKOLAH JENIS KEBANGSAAN (CINA) LAHAT,拿乞华小,LAHAT,31500,LAHAT,1/1/1934,101.0364076,4.538085333
PERAK,PPD KINTA UTARA,ABC2129,SEKOLAH JENIS KEBANGSAAN (CINA) PAPAN,甲板华小,JALAN BESAR PAPAN,31550,PUSING,1/11/1925,101.012056,4.515172
PERAK,PPD KINTA UTARA,ABC2130,SEKOLAH JENIS KEBANGSAAN (CINA) YIT CHEE,布先益智华小,JALAN PANCHOR,31550,PUSING,1/1/1902,101.0090426,4.496032067
PERAK,PPD KINTA UTARA,ABC2131,SEKOLAH JENIS KEBANGSAAN (CINA) GUNONG HIJAU,布先喜州华小,GUNUNG HIJAU,31550,PUSING,5/11/1907,101.0080258,4.493538682
PERAK,PPD KINTA SELATAN,ABC2132,SEKOLAH JENIS KEBANGSAAN (CINA) SIPUTEH,埔地华小,JALAN PARIT,31560,SIPUTEH,1/1/1925,100.994886,4.467997
PERAK,PPD KINTA SELATAN,ABC2133,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG SUN,端洛中山华小,LORONG BOTA,31750,TRONOH,1/1/1945,100.986473,4.420241
PERAK,PPD KINTA SELATAN,ABC2134,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG BALI,端洛百利华小,KAMPUNG BALI,31750,TRONOH,1/11/1951,101.004923,4.392598
PERAK,PPD KINTA SELATAN,ABC2135,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG NALLA,端洛甘榜那拉华小,JALAN SEKOLAH,31750,TRONOH,1/11/1951,100.979369,4.422496
PERAK,PPD KINTA SELATAN,ABC2136,SEKOLAH JENIS KEBANGSAAN (CINA) YUK KWAN,华都牙也育群华小,"NO.8, JALAN KELAB",31000,BATU GAJAH,6/1/1911,101.0406816,4.467300742
PERAK,PPD KINTA SELATAN,ABC2137,SEKOLAH JENIS KEBANGSAAN (CINA) BEMBAN,华都牙也民万华小,KG BARU BEMBAN,31000,BATU GAJAH,11/1/1951,101.013056,4.462136
PERAK,PPD KINTA SELATAN,ABC2138,SEKOLAH JENIS KEBANGSAAN (CINA) THUNG HON,贞德隆同汉华小,CHENDRONG,31000,BATU GAJAH,1/3/1948,101.048024,4.408418
PERAK,PPD KINTA SELATAN,ABC2139,SEKOLAH JENIS KEBANGSAAN (CINA) THUNG HON,督亚冷同汉华小,JALAN BATU GAJAH,31800,TANJUNG TUALANG,1/1/1915,101.057088,4.325692
PERAK,PPD KINTA SELATAN,ABC2140,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI DURIAN,宋溪榴梿华小,"JALAN PASAR BARU, SUNGAI DURIAN",31800,TANJONG TUALANG,1/1/1951,101.034138,4.316185
PERAK,PPD KINTA SELATAN,ABC2141,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPONG TIMAH,督亚冷甘榜地马华小,JALAN PASAR KAMPUNG TIMAH,31800,TANJONG TUALANG,1/1/1951,101.051221,4.284072
PERAK,PPD KINTA UTARA,ABC2142,SEKOLAH JENIS KEBANGSAAN (CINA) GUNONG RAPAT,怡保昆仑喇叭华小,PERSIARAN GUNUNG RAPAT 6,31350,IPOH,1/7/1957,101.1189894,4.573187831
PERAK,PPD KINTA UTARA,ABC2143,SEKOLAH JENIS KEBANGSAAN (CINA) PHUI YING,新邦波赖培英华小,"SIMPANG PULAI, KG KEPAYANG",31300,KG KEPAYANG,1/1/1913,101.128635,4.531399
PERAK,PPD KINTA UTARA,ABC2158,SEKOLAH JENIS KEBANGSAAN (CINA) BANDAR SERI BOTANI,怡保翠林城华小,BANDAR SERI BOTANI,31350,IPOH,1/1/2007,101.1059594,4.540287124
PERAK,PPD KERIAN,ABC3048,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HWA,巴力文打新华华小,JALAN ABD RAOF,34200,PARIT BUNTAR,1/1/1913,100.491891,5.126751
PERAK,PPD KERIAN,ABC3049,SEKOLAH JENIS KEBANGSAAN (CINA) BIN SIN,巴力文打民生华小,TITI SERONG,34200,PARIT BUNTAR,1/1/1930,100.462474,5.102691
PERAK,PPD KERIAN,ABC3050,SEKOLAH JENIS KEBANGSAAN (CINA) NAM HUA,角头南华华小,JALAN BESAR TANJONG PIANDANG,34250,TANJONG PIANDANG,20/11/1935,100.387092,5.076163
PERAK,PPD KERIAN,ABC3051,SEKOLAH JENIS KEBANGSAAN (CINA) WAI SIN,巴力文打新路维新华小,JALAN BAHRU,34200,PARIT BUNTAR,1/1/1929,100.472637,5.066629
PERAK,PPD KERIAN,ABC3052,SEKOLAH JENIS KEBANGSAAN (CINA) YU CHAI,瓜拉古楼育才华小,JALAN PANTAI,34350,KUALA KURAU,15/1/1928,100.43142,5.018147
PERAK,PPD KERIAN,ABC3053,SEKOLAH JENIS KEBANGSAAN (CINA) YUK HWA,瓜拉牛拉育华华小,KUALA GULA,34350,KUALA KURAU,1/1/1945,100.465365,4.930176
PERAK,PPD KERIAN,ABC3054,SEKOLAH JENIS KEBANGSAAN (CINA) CHONG WAH,新芒魏中华华小,SIMPANG EMPAT,34400,SEMANGGOL,1/1/1946,100.634738,4.951887
PERAK,PPD KERIAN,ABC3055,SEKOLAH JENIS KEBANGSAAN (CINA) TONG WAH,峇眼色海东华华小,PETI SURAT 67,34300,BAGAN SERAI,1/1/1910,100.5383725,5.009337549
PERAK,PPD KERIAN,ABC3056,SEKOLAH JENIS KEBANGSAAN (CINA) ALOR PONGSU,亚罗邦士华小,JALAN SELAMA,34300,BAGAN SERAI,1/1/1960,100.5867513,5.050225179
PERAK,PPD KERIAN,ABC3058,SEKOLAH JENIS KEBANGSAAN (CINA) AIK HWA,瓜拉古楼益华华小,KAMPONG LIANG SENG,34350,KUALA KURAU,1/1/1946,100.50196,4.98879
PERAK,PPD KUALA KANGSAR,ABC4091,SEKOLAH JENIS KEBANGSAAN (CINA) SAUK,江沙新寿活华小,SAUK,33500,KUALA KANGSAR,1/1/1933,100.9217483,4.935039977
PERAK,PPD KUALA KANGSAR,ABC4092,SEKOLAH JENIS KEBANGSAAN (CINA) LIMAN,江沙利民华小,LIMAN KATI,33020,KUALA KANGSAR,1/1/1954,100.904128,4.851788
PERAK,PPD KUALA KANGSAR,ABC4093,SEKOLAH JENIS KEBANGSAAN (CINA) KHAI CHEE,加地启智华小,KATI,33020,KUALA KANGSAR,16/4/1931,100.9062268,4.874925407
PERAK,PPD KUALA KANGSAR,ABC4094,SEKOLAH JENIS KEBANGSAAN (CINA) KHIU MIN,硝山侨民华小,"JALAN BESAR, PADANG RENGAS",33700,KUALA KANGSAR,1/1/1929,100.841271,4.775459823
PERAK,PPD KUALA KANGSAR,ABC4095,SEKOLAH JENIS KEBANGSAAN (CINA) TSUNG WAH,江沙崇华华小,JALAN KANGSAR,33000,KUALA KANGSAR,4/10/1911,100.9416579,4.769541198
