Code,Name,Name_Chinese,Address,Postcode,City,State,District_Education_Office,Established,X,Y
CEB3039,SEKOLAH MENENGAH KEBANGSAAN CHUNG HWA,立卑中华国民型华文中学,JALAN DATO' MAHMUD SG.KERPAN,27200,KUALA LIPIS,PAHANG,PPD LIPIS,1/1/1961,102.0465515,4.186367326
CEB4036,SEKOLAH MENENGAH KEBANGSAAN TANAH PUTEH,丹那布爹国民型华文中学,JALAN TANAH PUTIH,25100,KUANTAN,PAHANG,PPD KUANTAN,31/12/1952,103.3144754,3.793854381
CEB6029,SEKOLAH MENENGAH KEBANGSAAN CHUNG CHING,劳勿中竞国民型华文中学,JALAN PEKELILING,27600,RAUB,PAHANG,PPD RAUB,1/1/1924,101.8555268,3.797966442
CEB7071,SEKOLAH MENENGAH KEBANGSAAN HWA LIAN,文德甲华联国民型华文中学,JALAN KARAK,28400,MENTAKAB,PAHANG,PPD TEMERLOH,1/8/1958,102.3389573,3.481967763
CEBA072,SEKOLAH MENENGAH KEBANGSAAN TRIANG,直凉国民型华文中学,JALAN MENGKUANG,28300,TRIANG,PAHANG,PPD BERA,1/1/1951,102.4216045,3.251365188
DEB1138,SEKOLAH MENENGAH KEBANGSAAN CHUNG CHENG,哥打巴鲁中正国民型华文中学,JALAN KELOCOR,15300,KOTA BHARU,KELANTAN,PPD KOTA BHARU,23/5/1956,102.241,6.13733
DEB1139,SEKOLAH MENENGAH KEBANGSAAN CHUNG HWA,哥打巴鲁中华国民型华文中学,JALAN ATAS BANGGOL,15300,KOTA BHARU,KELANTAN,PPD KOTA BHARU,17/2/1918,102.238427,6.137610605
JEB4045,SEKOLAH MENENGAH KEBANGSAAN PAI CHEE,丰盛港培智国民型华文中学,JALAN MESJID,86800,MERSING,JOHOR,PPD MERSING,1/1/1959,103.8419814,2.424972881
JEB7030,SEKOLAH MENENGAH KEBANGSAAN SEG HWA,昔加末昔华国民型华文中学,JALAN TAHANG RIMAU,85000,SEGAMAT,JOHOR,PPD SEGAMAT,1/1/1950,102.8008028,2.520673952
JEA9012,SEKOLAH MENENGAH KEBANGSAAN PEI HWA,利丰港培华国民型华文中学,PEKAN SUNGAI MATI,84400,SUNGAI MATI,JOHOR,PPD TANGKAK,1/1/1929,102.5643762,2.147555397
KEB2094,SEKOLAH MENENGAH KEBANGSAAN KEAT HWA 1,亚罗士打吉华国民型华文中学,JALAN KUALA KEDAH,5400,ALOR SETAR,KEDAH,PPD KOTA SETAR,1/1/1911,100.3575566,6.095046814
KEB3051,SEKOLAH MENENGAH KEBANGSAAN SIN MIN,双溪大年新民国民型华文中学,JALAN PEGAWAI,8000,SUNGAI PETANI,KEDAH,PPD KUALA MUDA,1/1/1957,100.4860204,5.653463845
KEB5025,SEKOLAH MENENGAH KEBANGSAAN CHIO MIN,居林觉民国民型华文中学,JALAN KELANG SAGO,9000,KULIM,KEDAH,PPD KULIM/BANDAR BAHARU,10/5/1957,100.551589,5.374025
KEA2097,SEKOLAH MENENGAH KEBANGSAAN KEAT HWA 2,亚罗士打吉华国民型华文中学二校,"TAMAN SERI ABADI, JALAN KUALA KEDAH",6600,ALOR SETAR,KEDAH,PPD KOTA SETAR,1/1/1985,100.3365134,6.10325067
MEB0078,SEKOLAH MENENGAH KEBANGSAAN PULAU SEBANG,普罗士邦国民型华文中学,PULAU SEBANG,73000,TAMPIN POS,MELAKA,PPD ALOR GAJAH,11/12/1962,102.227,2.46883
